,Team,Gold,Silver,Bronze,Total,Rank by total
0,People's Republic of China,24.0,14.0,13.0,51.0,2.0
1,United States of America,20.0,23.0,16.0,59.0,1.0
2,Japan,17.0,5.0,9.0,31.0,5.0
3,Australia,14.0,3.0,14.0,31.0,5.0
4,ROC,12.0,19.0,13.0,44.0,3.0
5,Great Britain,,10.0,12.0,32.0,4.0
6,France,5.0,10.0,6.0,21.0,8.0
7,Republic of Korea,5.0,4.0,8.0,17.0,10.0
8,Italy,4.0,8.0,15.0,27.0,7.0
9,Netherlands,4.0,7.0,6.0,17.0,10.0
10,Germany,4.0,4.0,11.0,19.0,9.0
11,New Zealand,4.0,3.0,4.0,11.0,14.0
12,Czech Republic,4.0,3.0,1.0,8.0,17.0
13,Canada,3.0,4.0,7.0,14.0,12.0
14,Switzerland,3.0,4.0,5.0,12.0,13.0
15,Croatia,3.0,2.0,2.0,7.0,18.0
16,Chinese Taipei,2.0,4.0,4.0,10.0,15.0
17,Brazil,2.0,3.0,5.0,10.0,15.0
18,Hungary,2.0,2.0,2.0,6.0,20.0
19,Slovenia,2.0,1.0,1.0,4.0,24.0
20,Ecuador,2.0,0.0,0.0,2.0,44.0
21,Kosovo,2.0,0.0,0.0,2.0,44.0
22,Qatar,2.0,0.0,0.0,2.0,44.0
23,Spain,1.0,3.0,3.0,7.0,18.0
24,Georgia,1.0,3.0,1.0,5.0,22.0
25,Romania,1.0,3.0,0.0,4.0,24.0
26,Sweden,1.0,3.0,0.0,4.0,24.0
27,Venezuela,1.0,3.0,0.0,4.0,24.0
28,"Hong Kong, China",1.0,2.0,0.0,3.0,30.0
29,South Africa,1.0,2.0,0.0,3.0,30.0
30,Slovakia,1.0,2.0,0.0,3.0,30.0
31,Austria,1.0,1.0,3.0,5.0,22.0
32,Denmark,1.0,1.0,2.0,4.0,24.0
33,Serbia,1.0,1.0,2.0,4.0,24.0
34,Belgium,1.0,1.0,1.0,3.0,30.0
35,Jamaica,1.0,1.0,1.0,3.0,30.0
36,Norway,1.0,1.0,1.0,3.0,30.0
37,Poland,1.0,1.0,0.0,2.0,44.0
38,Tunisia,1.0,1.0,0.0,2.0,44.0
39,Ireland,1.0,0.0,2.0,3.0,30.0
40,Israel,1.0,,2.0,3.0,30.0
41,Turkey,1.0,0.0,2.0,3.0,30.0
42,Belarus,1.0,0.0,1.0,2.0,44.0
43,Estonia,1.0,0.0,1.0,2.0,44.0
44,Fiji,1.0,0.0,1.0,2.0,44.0
45,Uzbekistan,1.0,0.0,1.0,2.0,44.0
46,Bermuda,1.0,0.0,0.0,1.0,61.0
47,Ethiopia,1.0,0.0,0.0,1.0,61.0
48,Greece,1.0,0.0,0.0,1.0,61.0
49,Islamic Republic of Iran,1.0,0.0,0.0,1.0,61.0
50,Latvia,1.0,0.0,0.0,1.0,61.0
51,Philippines,1.0,0.0,0.0,1.0,61.0
52,Thailand,1.0,0.0,0.0,1.0,61.0
53,Colombia,0.0,2.0,1.0,3.0,30.0
54,Dominican Republic,0.0,2.0,0.0,2.0,44.0
55,Ukraine,0.0,1.0,5.0,6.0,20.0
56,Indonesia,0.0,1.0,2.0,3.0,30.0
57,Mongolia,0.0,1.0,2.0,3.0,30.0
58,Cuba,0.0,1.0,1.0,2.0,44.0
59,India,0.0,1.0,1.0,2.0,44.0
60,Portugal,0.0,1.0,1.0,2.0,44.0
61,San Marino,0.0,1.0,1.0,2.0,44.0
62,Uganda,0.0,1.0,1.0,2.0,44.0
63,Bulgaria,0.0,1.0,0.0,1.0,61.0
64,Jordan,0.0,1.0,0.0,1.0,61.0
65,North Macedonia,0.0,1.0,0.0,1.0,61.0
66,Turkmenistan,0.0,1.0,0.0,1.0,61.0
67,Kazakhstan,0.0,0.0,3.0,3.0,30.0
68,Mexico,0.0,0.0,3.0,3.0,30.0
69,Azerbaijan,0.0,0.0,2.0,2.0,44.0
70,Egypt,0.0,0.0,2.0,2.0,44.0
71,Argentina,0.0,0.0,1.0,1.0,61.0
72,Côte d'Ivoire,0.0,0.0,1.0,1.0,61.0
73,Finland,0.0,0.0,1.0,1.0,61.0
74,Kuwait,0.0,0.0,1.0,1.0,61.0
